product_id,name,category,base_price,unit_cost,seasonality,related_products,init_stock_share
P0041,A-Line Twill Skirt,Women’s Apparel,47.0,17.0,all_season,Paper Touch Shirt:0.46;Slim Fit Oxford Shirt:0.42;Ballet Sleeve Knit Top:0.45,1.0
P0042,Colorblock Sweater,Women’s Apparel,69.0,27.0,fall/winter,Cable Knit Pullover:0.76;Merino Crew Sweater:0.6;Knit Beanie:0.4,1.0
P0043,Paper Touch Shirt,Women’s Apparel,39.0,14.0,all_season,Slim Fit Oxford Shirt:0.82;Tie-Front Poplin Blouse:0.59;A-Line Twill Skirt:0.43,1.0
P0044,Belted Cardigan Coat,Women’s Apparel,104.0,44.0,fall/winter,Soft Touch Cardigan:0.68;Oversized Trench Coat:0.58;Warm Handle Wool Coat:0.52,1.0
P0045,Silk-Blend Shell Top,Women’s Apparel,57.0,22.0,spring/summer,Seamless Camisole:0.64;Draped Evening Top:0.69;Satin Slip Skirt:0.53,1.0
P0046,Everyday Stretch Tee,Women’s Apparel,23.0,8.0,all_season,Classic Crew Neck Tee:0.88;Essential Cotton Crew Tee:0.86;Breton Stripe Tee:0.5,1.0
P0047,Wide-Leg Crop Jean,Women’s Apparel,61.0,24.0,all_season,Slim Straight Ankle Jean:0.58;Relaxed Denim Jean:0.62;Cropped Denim Jacket:0.46,1.0
P0048,Faux Suede Shacket,Women’s Apparel,86.0,35.0,fall/winter,Textured Overshirt:0.7;Corduroy Shirt Jacket:0.66;Stretch Carpenter Pants:0.42,1.0
P0049,Tie-Sleeve Popover,Women’s Apparel,37.0,13.0,spring/summer,Tie-Front Poplin Blouse:0.78;Paper Touch Shirt:0.56;Ruffle Shoulder Blouse:0.48,1.0
P0050,Textured Midi Shirt Dress,Women’s Apparel,76.0,31.0,spring/summer,Ballet Flat:0.82;Structured Tote Bag:0.7;Classic Leather Belt:0.58,1.0
P0051,Knit Wrap Top,Women’s Apparel,33.0,12.0,all_season,Satin Slip Skirt:0.66;High-Waist Pleated Trousers:0.6;Slim Straight Ankle Jean:0.5,1.0
P0052,Pleated Tailored Shorts,Women’s Apparel,45.0,16.0,spring/summer,Double-Breasted Blazer:0.74;Ribbed Knit Tank:0.52;Minimalist Dress Sneaker:0.42,1.0
P0053,Warm Handle Wool Coat,Women’s Apparel,128.0,56.0,winter,Wool Blend Scarf:0.82;Knit Beanie:0.62;Classic Chelsea Boot:0.56,1.0
P0054,Embroidered Denim Shirt,Women’s Apparel,53.0,20.0,all_season,Relaxed Denim Jean:0.7;Canvas Baseball Cap:0.38;Classic Leather Belt:0.34,1.0
P0055,Lace Trim Camisole,Women’s Apparel,26.0,9.0,spring/summer,Soft Touch Cardigan:0.72;Satin Slip Skirt:0.63;Straight-Leg Knit Pant:0.34,1.0
P0056,Fitted Ponte Dress,Women’s Apparel,69.0,27.0,all_season,Block Heel Pump:0.8;Structured Tote Bag:0.5;Pearl Drop Earrings:0.48,1.0
P0057,Longline Knit Vest,Women’s Apparel,41.0,15.0,fall/winter,Slim Fit Oxford Shirt:0.68;Straight Leg Twill Pants:0.52;Minimalist Dress Sneaker:0.3,1.0
P0058,Printed Palazzo Pants,Women’s Apparel,55.0,21.0,spring/summer,Silk-Blend Shell Top:0.72;Ballet Flat:0.46;Chunky Chain Necklace:0.36,1.0
P0059,Breezy Off-Shoulder Top,Women’s Apparel,35.0,12.0,spring/summer,Tiered Maxi Skirt:0.66;Espadrille Wedge:0.6;Pearl Drop Earrings:0.44,1.0
P0060,Woven Wrap Midi Skirt,Women’s Apparel,49.0,18.0,spring/summer,Ribbed Knit Tank:0.64;Ballet Flat:0.52;Braided Waist Belt:0.4,1.0
P0061,Textured Stripe Tee,Women’s Apparel,29.0,10.0,all_season,Five-Pocket Stretch Jean:0.62;Canvas Low Top Sneaker:0.56;Cropped Denim Jacket:0.42,1.0
P0062,Slim Fit Oxford Shirt,Men’s Apparel,44.0,16.0,all_season,Slim Fit Trousers:0.74;Double-Breasted Blazer:0.7;Lace-Up Derby Shoe:0.64,1.0
P0063,Brushed Flannel Shirt,Men’s Apparel,48.0,18.0,fall/winter,Relaxed Denim Jean:0.66;Combat Lace Boot:0.48;Canvas Field Jacket:0.46,1.0
P0064,Classic Crew Neck Tee,Men’s Apparel,22.0,7.0,all_season,Five-Pocket Stretch Jean:0.68;Canvas Low Top Sneaker:0.58;Cropped Denim Jacket:0.42,1.0
P0065,Stretch Chino Pants,Men’s Apparel,52.0,20.0,all_season,Slim Fit Oxford Shirt:0.7;Slip-On Loafer:0.58;Braided Waist Belt:0.3,1.0
P0066,Relaxed Denim Jean,Men’s Apparel,58.0,23.0,all_season,Classic Crew Neck Tee:0.7;Canvas Low Top Sneaker:0.62;Cropped Denim Jacket:0.44,1.0
P0067,Lightweight Bomber Jacket,Men’s Apparel,84.0,34.0,spring,Classic Crew Neck Tee:0.58;Relaxed Denim Jean:0.5;Chunky Retro Sneaker:0.48,1.0
P0068,Merino Crew Sweater,Men’s Apparel,76.0,29.0,fall/winter,Tailored Wool Coat:0.66;Slim Fit Trousers:0.6;Classic Chelsea Boot:0.48,1.0
P0069,Linen Resort Shirt,Men’s Apparel,46.0,17.0,spring/summer,Stretch Chino Pants:0.62;Slide Sport Sandal:0.56;Woven Straw Tote:0.4,1.0
P0070,Performance Polo,Men’s Apparel,36.0,13.0,spring/summer,Straight Leg Twill Pants:0.62;Slip-On Loafer:0.5;Canvas Baseball Cap:0.34,1.0
P0071,Textured Overshirt,Men’s Apparel,62.0,24.0,fall/winter,Classic Crew Neck Tee:0.58;Relaxed Denim Jean:0.56;Combat Lace Boot:0.42,1.0
P0072,Slim Fit Trousers,Men’s Apparel,64.0,25.0,all_season,Slim Fit Oxford Shirt:0.78;Double-Breasted Blazer:0.72;Monk Strap Dress Shoe:0.66,1.0
P0073,Short Sleeve Henley,Men’s Apparel,28.0,9.0,spring/summer,Relaxed Denim Jean:0.62;Canvas Low Top Sneaker:0.46;Essential Hoodie:0.34,1.0
P0074,Quilted Vest,Men’s Apparel,68.0,26.0,fall/winter,Brushed Flannel Shirt:0.6;Relaxed Denim Jean:0.52;Combat Lace Boot:0.5,1.0
P0075,Corduroy Shirt Jacket,Men’s Apparel,79.0,31.0,fall/winter,Classic Crew Neck Tee:0.56;Relaxed Denim Jean:0.54;Suede Chukka Boots:0.5,1.0
P0076,Essential Hoodie,Men’s Apparel,54.0,20.0,all_season,Slim Knit Jogger:0.72;Canvas Low Top Sneaker:0.58;Relaxed Denim Jean:0.38,1.0
P0077,Tailored Wool Coat,Men’s Apparel,138.0,61.0,winter,Merino Crew Sweater:0.68;Slim Fit Trousers:0.6;Classic Chelsea Boot:0.58,1.0
P0078,Washed Cargo Pants,Men’s Apparel,59.0,22.0,all_season,Canvas Field Jacket:0.7;Classic Crew Neck Tee:0.52;Combat Lace Boot:0.62,1.0
P0079,Seersucker Button-Up,Men’s Apparel,41.0,15.0,spring/summer,Stretch Chino Pants:0.6;Slip-On Loafer:0.42;Woven Straw Tote:0.3,1.0
P0080,Pique Golf Shirt,Men’s Apparel,38.0,14.0,spring/summer,Straight Leg Twill Pants:0.56;Slip-On Loafer:0.48;Canvas Baseball Cap:0.32,1.0
P0081,Straight Leg Twill Pants,Men’s Apparel,57.0,21.0,all_season,Slim Fit Oxford Shirt:0.64;Double-Breasted Blazer:0.58;Monk Strap Dress Shoe:0.5,1.0
P0082,Thermal Base Layer Top,Men’s Apparel,34.0,12.0,winter,Packable Rain Shell:0.46;Outdoor Trek Sandal:0.18;Waterproof Hiking Boot:0.52,1.0
P0083,Packable Rain Shell,Men’s Apparel,92.0,38.0,spring,Waterproof Hiking Boot:0.7;Trail Running Shoe:0.44;Textured Mini Backpack:0.3,1.0
P0084,Soft Touch Long Sleeve Tee,Men’s Apparel,26.0,8.0,all_season,Five-Pocket Stretch Jean:0.58;Canvas Low Top Sneaker:0.5;Soft Touch Cardigan:0.4,1.0
P0085,Textured Knit Polo,Men’s Apparel,43.0,16.0,spring/summer,Straight Leg Twill Pants:0.58;Slip-On Loafer:0.52;Braided Waist Belt:0.3,1.0
P0086,Utility Denim Shirt,Men’s Apparel,49.0,18.0,all_season,Washed Cargo Pants:0.64;Combat Lace Boot:0.46;Canvas Baseball Cap:0.34,1.0
P0087,Slim Fit Blazer,Men’s Apparel,124.0,52.0,fall/winter,Slim Fit Trousers:0.78;Monk Strap Dress Shoe:0.68;Structured Tote Bag:0.38,1.0
P0088,Relaxed Lounge Jogger,Men’s Apparel,39.0,13.0,all_season,Modern Crew Sweatshirt:0.72;Essential Hoodie:0.68;Canvas Low Top Sneaker:0.46,1.0
P0089,Ribbed Mock Neck,Men’s Apparel,32.0,11.0,fall/winter,Slim Fit Trousers:0.54;Double-Breasted Blazer:0.52;Classic Chelsea Boot:0.38,1.0
P0090,Canvas Field Jacket,Men’s Apparel,88.0,35.0,spring,Washed Cargo Pants:0.72;Combat Lace Boot:0.64;Classic Crew Neck Tee:0.42,1.0
P0091,Modern Crew Sweatshirt,Men’s Apparel,46.0,17.0,all_season,Relaxed Lounge Jogger:0.74;Canvas Low Top Sneaker:0.5;Essential Hoodie:0.46,1.0
P0092,Five-Pocket Stretch Jean,Men’s Apparel,61.0,24.0,all_season,Classic Crew Neck Tee:0.68;Canvas Low Top Sneaker:0.6;Cropped Denim Jacket:0.44,1.0
P0093,Tapered Utility Pant,Men’s Apparel,63.0,25.0,all_season,Utility Denim Shirt:0.64;Canvas Field Jacket:0.58;Combat Lace Boot:0.56,1.0
P0094,Oxford Stripe Shirt,Men’s Apparel,45.0,16.0,all_season,Slim Fit Trousers:0.66;Double-Breasted Blazer:0.62;Lace-Up Derby Shoe:0.58,1.0
P0095,Wool Blend Overcoat,Men’s Apparel,148.0,65.0,winter,Merino Crew Sweater:0.7;Wool Blend Scarf:0.84;Classic Chelsea Boot:0.6,1.0
P0096,Sport Mesh Tee,Men’s Apparel,24.0,7.0,spring/summer,Athletic Training Shoe:0.56;Moisture-Wick Legging:0.38;Seamless Sports Bra:0.34,1.0
P0097,Double Pocket Workshirt,Men’s Apparel,47.0,17.0,all_season,Stretch Carpenter Pants:0.74;Combat Lace Boot:0.62;Canvas Field Jacket:0.5,1.0
P0098,Slim Knit Jogger,Men’s Apparel,42.0,15.0,all_season,Essential Hoodie:0.72;Modern Crew Sweatshirt:0.58;Canvas Low Top Sneaker:0.44,1.0
P0099,Suede Chukka Boots,Men’s Apparel,96.0,40.0,fall/winter,Relaxed Denim Jean:0.48;Textured Overshirt:0.42;Merino Crew Sweater:0.4,1.0
P0100,Breton Stripe Tee,Men’s Apparel,27.0,9.0,all_season,Classic Crew Neck Tee:0.78;Relaxed Denim Jean:0.64;Canvas Low Top Sneaker:0.55,1.0
P0101,Relaxed Linen Shirt,Men’s Apparel,44.0,16.0,spring/summer,Linen Resort Shirt:0.82;Relaxed Wide-Leg Jumpsuit:0.48;Stretch Chino Pants:0.46,1.0
P0102,Fleece Zip Jacket,Men’s Apparel,72.0,28.0,fall/winter,Essential Hoodie:0.7;Modern Crew Sweatshirt:0.62;Relaxed Lounge Jogger:0.5,1.0
P0103,Stretch Carpenter Pants,Men’s Apparel,56.0,21.0,all_season,Utility Cargo Pants:0.84;Double Pocket Workshirt:0.52;Canvas Field Jacket:0.43,1.0
P0104,Minimalist Dress Sneaker,Footwear,78.0,30.0,all_season,Canvas Low Top Sneaker:0.8;Slim Straight Ankle Jean:0.56;Relaxed Denim Jean:0.45,1.0
P0105,Court Leather Sneaker,Footwear,88.0,35.0,all_season,Canvas Low Top Sneaker:0.72;Athletic Training Shoe:0.5;Minimalist Dress Sneaker:0.58,1.0
P0106,Trail Running Shoe,Footwear,95.0,38.0,spring/summer,Knit Running Shoe:0.88;Reflective Run Vest:0.58;Moisture-Wick Legging:0.6,1.0
P0107,Classic Chelsea Boot,Footwear,124.0,52.0,fall/winter,Suede Chukka Boots:0.62;Suede Ankle Boot:0.77;Slim Straight Ankle Jean:0.49,1.0
P0108,Waterproof Hiking Boot,Footwear,138.0,59.0,fall/winter,Packable Rain Shell:0.66;Tapered Utility Pant:0.53;Outdoor Trek Sandal:0.35,1.0
P0109,Strappy Flat Sandal,Footwear,54.0,19.0,spring/summer,Espadrille Wedge:0.74;Breezy Off-Shoulder Top:0.42;Fluid Midi Wrap Dress:0.46,1.0
P0110,Block Heel Pump,Footwear,86.0,34.0,all_season,Slim Fit Blazer:0.68;Fitted Ponte Dress:0.72;Draped Evening Top:0.58,1.0
P0111,Slip-On Loafer,Footwear,92.0,37.0,all_season,Slim Fit Trousers:0.66;Paper Touch Shirt:0.53;Double-Breasted Blazer:0.57,1.0
P0112,Athletic Training Shoe,Footwear,82.0,31.0,all_season,Seamless Sports Bra:0.74;High-Rise Bike Short:0.68;Performance Track Jacket:0.54,1.0
P0113,Canvas Low Top Sneaker,Footwear,64.0,23.0,spring/summer,Relaxed Denim Jean:0.7;Classic Crew Neck Tee:0.62;Stretch Denim Jacket:0.5,1.0
P0114,Suede Ankle Boot,Footwear,118.0,49.0,fall/winter,Classic Chelsea Boot:0.74;Merino Turtleneck Sweater:0.47;Wide-Leg Crop Jean:0.45,1.0
P0115,Espadrille Wedge,Footwear,74.0,28.0,spring/summer,Strappy Flat Sandal:0.76;Tiered Maxi Skirt:0.55;Breezy Off-Shoulder Top:0.43,1.0
P0116,Ballet Flat,Footwear,58.0,21.0,all_season,Fluid Midi Wrap Dress:0.56;A-Line Twill Skirt:0.52;Tie-Front Poplin Blouse:0.44,1.0
P0117,Platform Slide,Footwear,62.0,22.0,spring/summer,Faux Leather Mini Skirt:0.41;Ribbed Knit Tank:0.44;Relaxed Lounge Jogger:0.32,1.0
P0118,Knit Running Shoe,Footwear,90.0,36.0,all_season,Trail Running Shoe:0.9;Running Shorts:0.66;Quick-Dry Training Tee:0.64,1.0
P0119,Weatherproof Snow Boot,Footwear,145.0,63.0,winter,Insulated Snow Boot:0.86;Warm Handle Wool Coat:0.58;Knit Beanie:0.5,1.0
P0120,Perforated Slip-On,Footwear,67.0,24.0,spring/summer,Canvas Low Top Sneaker:0.5;Relaxed Denim Jean:0.42;Short Sleeve Henley:0.38,1.0
P0121,Monk Strap Dress Shoe,Footwear,112.0,46.0,all_season,Lace-Up Derby Shoe:0.83;Slim Fit Trousers:0.68;Slim Fit Blazer:0.63,1.0
P0122,Chunky Retro Sneaker,Footwear,84.0,33.0,all_season,Canvas Low Top Sneaker:0.54;Relaxed Denim Jean:0.49;Modern Crew Sweatshirt:0.46,1.0
P0123,Slide Sport Sandal,Footwear,46.0,16.0,spring/summer,Outdoor Trek Sandal:0.76;Athletic Training Shoe:0.45;High-Rise Bike Short:0.41,1.0
P0124,Lace-Up Derby Shoe,Footwear,118.0,48.0,all_season,Monk Strap Dress Shoe:0.82;Slim Fit Trousers:0.71;Double-Breasted Blazer:0.62,1.0
P0125,Outdoor Trek Sandal,Footwear,69.0,25.0,spring/summer,Waterproof Hiking Boot:0.7;Packable Rain Shell:0.48;Tapered Utility Pant:0.44,1.0
P0126,Combat Lace Boot,Footwear,132.0,55.0,fall/winter,Suede Ankle Boot:0.55;Stretch Carpenter Pants:0.5;Faux Suede Shacket:0.46,1.0
P0127,Stretch Knit Mule,Footwear,57.0,20.0,all_season,Ballet Flat:0.58;Fluid Midi Wrap Dress:0.5;Soft Touch Cardigan:0.36,1.0
P0128,Velcro Kids Sneaker,Footwear,52.0,18.0,all_season,Boys' Graphic Hoodie:0.47;Youth Fleece Sweatshirt:0.44;Children's Raincoat:0.4,1.0
P0129,Insulated Snow Boot,Footwear,128.0,54.0,winter,Weatherproof Snow Boot:0.86;Knit Beanie:0.53;Cashmere Wrap Scarf:0.52,1.0
P0130,Classic Leather Belt,Accessories,42.0,12.0,all_season,Braided Waist Belt:0.79;Slim Fit Trousers:0.54;Double-Breasted Blazer:0.41,1.0
P0131,Crossbody Camera Bag,Accessories,78.0,28.0,all_season,Structured Tote Bag:0.5;Quilted Belt Bag:0.56;Leather Card Holder:0.37,1.0
P0132,Structured Tote Bag,Accessories,96.0,36.0,all_season,Crossbody Camera Bag:0.57;Woven Straw Tote:0.69;Slim Leather Wallet:0.42,1.0
P0133,Canvas Baseball Cap,Accessories,28.0,8.0,spring/summer,Reversible Bucket Hat:0.71;Printed Silk Bandana:0.45;Sport Mesh Tee:0.35,1.0
P0134,Wool Blend Scarf,Accessories,34.0,10.0,fall/winter,Cashmere Wrap Scarf:0.82;Knit Beanie:0.68;Tailored Wool Coat:0.51,1.0
P0135,Chunky Chain Necklace,Accessories,46.0,14.0,all_season,Statement Cuff Bracelet:0.7;Minimal Hoop Earrings:0.56;Pearl Drop Earrings:0.33,1.0
P0136,Slim Leather Wallet,Accessories,54.0,18.0,all_season,Leather Card Holder:0.86;Travel Passport Case:0.66;Crossbody Camera Bag:0.35,1.0
P0137,Oversized Sun Hat,Accessories,38.0,11.0,spring/summer,Woven Straw Tote:0.72;Strappy Flat Sandal:0.5;Fluid Midi Wrap Dress:0.42,1.0
P0138,Minimal Hoop Earrings,Accessories,32.0,9.0,all_season,Pearl Drop Earrings:0.63;Statement Cuff Bracelet:0.48;Chunky Chain Necklace:0.46,1.0
P0139,Printed Silk Bandana,Accessories,24.0,7.0,spring/summer,Canvas Baseball Cap:0.52;Crossbody Camera Bag:0.33;Reversible Bucket Hat:0.36,1.0
P0140,Quilted Belt Bag,Accessories,66.0,24.0,all_season,Crossbody Camera Bag:0.7;Textured Mini Backpack:0.52;Slim Leather Wallet:0.38,1.0
P0141,Reversible Bucket Hat,Accessories,30.0,9.0,spring/summer,Canvas Baseball Cap:0.72;Oversized Sun Hat:0.58;Printed Silk Bandana:0.41,1.0
P0142,Pearl Drop Earrings,Accessories,44.0,13.0,all_season,Minimal Hoop Earrings:0.64;Faux Leather Clutch:0.43;Draped Evening Top:0.39,1.0
P0143,Faux Leather Clutch,Accessories,58.0,19.0,all_season,Pearl Drop Earrings:0.44;Draped Evening Top:0.67;Block Heel Pump:0.55,1.0
P0144,Knit Beanie,Accessories,26.0,8.0,fall/winter,Wool Blend Scarf:0.79;Insulated Snow Boot:0.56;Canvas Baseball Cap:0.32,1.0
P0145,Travel Passport Case,Accessories,36.0,11.0,all_season,Slim Leather Wallet:0.71;Textured Mini Backpack:0.41;Crossbody Camera Bag:0.34,1.0
P0146,Braided Waist Belt,Accessories,29.0,8.0,all_season,Classic Leather Belt:0.84,1.0
P0147,Chain Link Bracelet,Accessories,35.0,10.0,all_season,Statement Cuff Bracelet:0.72;Minimal Hoop Earrings:0.49;Chunky Chain Necklace:0.58,1.0
P0148,Satin Hair Bow Set,Accessories,22.0,6.0,spring/summer,Pearl Drop Earrings:0.35;Minimal Hoop Earrings:0.31;Printed Silk Bandana:0.33,1.0
P0149,Woven Straw Tote,Accessories,48.0,15.0,spring/summer,Oversized Sun Hat:0.8;Espadrille Wedge:0.55;Structured Tote Bag:0.62,1.0
P0150,Leather Card Holder,Accessories,41.0,12.0,all_season,Slim Leather Wallet:0.82;Travel Passport Case:0.68;Structured Tote Bag:0.42,1.0
P0151,Cashmere Wrap Scarf,Accessories,62.0,21.0,fall/winter,Wool Blend Scarf:0.78;Knit Beanie:0.44;Merino Turtleneck Sweater:0.36,1.0
P0152,Statement Cuff Bracelet,Accessories,39.0,11.0,all_season,Chain Link Bracelet:0.66;Minimal Hoop Earrings:0.4;Pearl Drop Earrings:0.34,1.0
P0153,Textured Mini Backpack,Accessories,74.0,26.0,all_season,Crossbody Camera Bag:0.64;Quilted Belt Bag:0.48;Reversible Bucket Hat:0.32,1.0
P0154,Sports Wristband Set,Activewear,18.0,5.0,all_season,Quick-Dry Training Tee:0.35;Seamless Sports Bra:0.33;Athletic Training Shoe:0.3,1.0
P0155,Quick-Dry Training Tee,Activewear,29.0,10.0,spring/summer,Sport Mesh Tee:0.76;Performance Polo:0.42;Running Shorts:0.58,1.0
P0156,High-Rise Bike Short,Activewear,34.0,12.0,spring/summer,Moisture-Wick Legging:0.67;Seamless Sports Bra:0.62;Yoga Cropped Top:0.45,1.0
P0157,Seamless Sports Bra,Activewear,36.0,13.0,all_season,High-Rise Bike Short:0.72;Moisture-Wick Legging:0.58;Yoga Cropped Top:0.64,1.0
